10_4305519482 521528
17_4305519474 4782
17_4305519482 4791
1_4305519482 2
20_4305519474 12
22_4305519474 1206600
22_4305519478 12
22_4305519482 301638
23_4305519474 603306
25_4305519474 603300
27_4305519474 273806654
27_4305519482 273806654
28_4305519474 14449066
28_4305519478 50274
28_4305519482 36072391
30_4305519474 1237820163
31_4305519474 2481215488
32_4305519474 21673599
32_4305519482 7224533
35_4305519474 1058024487
36_4305519474 947866713
37_4305519474 155126591
38_4305519474 1259612657
39_4305519474 671102545
3_4305519482 50272
40_4305519474 72246
42_4305519474 7264335300
42_4305519478 8932439
42_4305519482 1807151386
43_4305519474 3632203773
4_4305519474 741424
4_4305519482 1112136
50_4305519474 13068210642
50_4305519482 13090436322
51_4305519474 708001558
51_4305519482 707443073
54_4305519474 459650
54_4305519482 137061333
55_4305519474 301650
55_4305519478 12
55_4305519482 301638
56_4305519482 14
57_4305519482 273806640
59_4305519474 8
59_4305519482 4
5_4305519474 452466
5_4305519482 452466
60_4305519474 4746056
60_4305519482 2373028
62_4305519474 216541960
62_4305519482 216398512
63_4305519474 12
63_4305519482 12
69_4305519474 540781096
69_4305519482 540781096
72_4305519474 377055
72_4305519482 502740
73_4305519474 4452044700
73_4305519482 1527221237
74_4305519474 1675203260
74_4305519482 3159218160
75_4305519482 29557768987
76_4305519482 1725186013
77_4305519482 5
78_4305519474 1
7_4305519474 9
80_4305519474 109314048
80_4305519482 54657024
82_4305519482 50274
83_4305519474 75411
84_4305519482 51272661
8_4305519474 402200
8_4305519478 201100
9_4305519482 6
